Lambda: -10.00, Intercambios: 0, Solucion: -4.238066e-04 -9.111842e-04 -1.460367e-03 -2.076020e-03 -2.763002e-03 -3.526409e-03 -4.371590e-03 -5.304161e-03 -6.330023e-03 9.254463e-02 
Lambda:  -9.50, Intercambios: 0, Solucion: -4.515113e-04 -9.743138e-04 -1.566740e-03 -2.234315e-03 -2.982814e-03 -3.818302e-03 -4.747166e-03 -5.776132e-03 -6.912277e-03 9.710011e-02 
Lambda:  -9.00, Intercambios: 0, Solucion: -4.818514e-04 -1.044011e-03 -1.684993e-03 -2.411391e-03 -3.230120e-03 -4.148463e-03 -5.174112e-03 -6.315187e-03 -7.580257e-03 1.021327e-01 
Lambda:  -8.50, Intercambios: 0, Solucion: -5.151287e-04 -1.121163e-03 -1.816913e-03 -2.610320e-03 -3.509731e-03 -4.523975e-03 -5.662399e-03 -6.934903e-03 -8.351968e-03 1.077224e-01 
Lambda:  -8.00, Intercambios: 0, Solucion: -5.516739e-04 -1.206787e-03 -1.964620e-03 -2.834819e-03 -3.827563e-03 -4.953658e-03 -6.224583e-03 -7.652538e-03 -9.250480e-03 1.139678e-01 
Lambda:  -7.50, Intercambios: 0, Solucion: -5.918422e-04 -1.302053e-03 -2.130632e-03 -3.089416e-03 -4.190953e-03 -5.448613e-03 -6.876660e-03 -8.490308e-03 -1.030578e-02 1.209930e-01 
Lambda:  -7.00, Intercambios: 0, Solucion: -6.360025e-04 -1.408291e-03 -2.317948e-03 -3.379665e-03 -4.609091e-03 -6.022982e-03 -7.639289e-03 -9.477246e-03 -1.155744e-02 1.289552e-01 
Lambda:  -6.50, Intercambios: 0, Solucion: -6.845143e-04 -1.526993e-03 -2.530138e-03 -3.712416e-03 -5.093611e-03 -6.695013e-03 -8.539552e-03 -1.065192e-02 -1.305866e-02 1.380578e-01 
Lambda:  -6.00, Intercambios: 0, Solucion: -7.376835e-04 -1.659788e-03 -2.771436e-03 -4.096178e-03 -5.659403e-03 -7.488602e-03 -9.613557e-03 -1.206651e-02 -1.488235e-02 1.485679e-01 
Lambda:  -5.50, Intercambios: 0, Solucion: -7.956807e-04 -1.808365e-03 -3.046821e-03 -4.541571e-03 -6.325764e-03 -8.435557e-03 -1.091038e-02 -1.379323e-02 -1.713088e-02 1.608440e-01 
Lambda:  -5.00, Intercambios: 0, Solucion: -8.583909e-04 -1.974299e-03 -3.362031e-03 -5.061884e-03 -7.118019e-03 -9.579006e-03 -1.249825e-02 -1.593443e-02 -1.995188e-02 1.753789e-01 
